央视,#genre#
安多卫视,http://122.96.52.98:8006/JS_CUCC/G_ANDUO.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8K8fai0rYvGCaSV%2Fq05U4gP5XS5s%2Ba9itJSw7vVkZCl&p=GITV&area=JS_CUCC
兵团卫视,http://122.96.52.98:8006/JS_CUCC/G_BINGTUAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5bj0HQF2o3YIeMp5xprNaPyvpPW8hxBd0Rtq%2Bwa619R&p=GITV&area=JS_CUCC
康巴卫视,http://122.96.52.98:8006/JS_CUCC/G_KANGBA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7SwM9elxqfUsPSNiqXGToZknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
农林卫视,http://122.96.52.98:8006/JS_CUCC/G_NONGLIN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVyXqTy%2FzOrGzL8I0k7lBI4v67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
延边卫视,http://122.96.52.98:8006/JS_CUCC/G_YANBIAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVywCxX4mWCGeMUfZc4QNa3367I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
大湾区卫视,http://122.96.52.98:8006/JS_CUCC/G_NANFANG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1G5OFUBu%2BCdA8RsdudOO1r67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC

少儿,#genre#
卡酷少儿,http://122.96.52.98:8006/JS_CUCC/G_KAKU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BjSmygd5J05CTlsCPT2Qd7El4iMNl0LfXN60kch0at8&p=GITV&area=JS_CUCC
金鹰卡通,http://122.96.52.98:8006/JS_CUCC/G_JINYING.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1RYr4qVzFlgAG%2FQvRkeOQD67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
嘉佳卡通,http://122.96.52.98:8006/JS_CUCC/G_JIAJIA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8LLPwnS5WUkOdhHgc5XUhhknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
